
******************
 id: 5 ;load: 137741
 id: 4 ;load: 137674
******************
 id: 6 ;load: 136132
 id: 5 ;load: 137438
 id: 2 ;load: 137782
 id: 3 ;load: 138007
 id: 4 ;load: 136958
******************
 id: 6 ;load: 129754
 id: 5 ;load: -146642449
 id: 2 ;load: 130530
 id: 3 ;load: -156050402
 id: 4 ;load: 130355
******************
 id: 6 ;load: 126880
 id: 5 ;load: -258312501
 id: 2 ;load: -101809065
 id: 3 ;load: -261734675
 id: 4 ;load: -109905804
******************
******************
******************
******************
******************
 id: 3 ;load: 137910
******************
 id: 3 ;load: 137120
******************
 id: 3 ;load: 136470
******************
 id: 3 ;load: 135690
******************
 id: 3 ;load: 135040
******************
 id: 3 ;load: 134390
******************
 id: 3 ;load: 133610
******************
 id: 3 ;load: 132960
******************
 id: 3 ;load: 132310
 id: 4 ;load: 132733
******************
 id: 3 ;load: 131599
 id: 4 ;load: 131953
******************
 id: 3 ;load: 130949
 id: 4 ;load: 131303
******************
 id: 3 ;load: 130299
 id: 4 ;load: 130653
******************
 id: 3 ;load: 129519
 id: 4 ;load: 129873
******************
 id: 3 ;load: 128869
 id: 4 ;load: 129223
******************
******************
 id: 6 ;load: -119096
 id: 5 ;load: -46118
 id: 2 ;load: -1617
 id: 3 ;load: -75259
 id: 4 ;load: -63856
******************
 id: 6 ;load: -214068
 id: 2 ;load: -50102
 id: 3 ;load: -148205
 id: 4 ;load: -124743
******************
******************
 id: 6 ;load: -231389
 id: 2 ;load: -59778
 id: 3 ;load: -156635
 id: 4 ;load: -134488
******************
 id: 6 ;load: -239278
 id: 2 ;load: -67460
 id: 3 ;load: -158651
 id: 4 ;load: -142170
******************
 id: 6 ;load: -294306
 id: 2 ;load: -120801
 id: 3 ;load: -162208
 id: 4 ;load: -197060
******************
 id: 6 ;load: -358920
 id: 2 ;load: -185407
 id: 3 ;load: -162672
 id: 4 ;load: -261605
******************
 id: 6 ;load: -360160
 id: 2 ;load: -186509
 id: 3 ;load: -163274
 id: 4 ;load: -262768
******************
 id: 6 ;load: -361302
 id: 2 ;load: -187574
 id: 3 ;load: -163738
 id: 4 ;load: -263833
******************
 id: 6 ;load: -429962
 id: 2 ;load: -253141
 id: 3 ;load: -171008
 id: 4 ;load: -332485
******************
 id: 6 ;load: -528012
 id: 2 ;load: -319362
 id: 3 ;load: -192611
 id: 4 ;load: -418301
******************
******************
 id: 6 ;load: -530129
 id: 2 ;load: -321402
 id: 3 ;load: -193547
 id: 4 ;load: -420333
******************
 id: 6 ;load: -589580
 id: 2 ;load: -376703
 id: 3 ;load: -197978
 id: 4 ;load: -479246
******************
 id: 6 ;load: -656130
 id: 2 ;load: -442980
 id: 3 ;load: -199591
 id: 4 ;load: -545658
******************
 id: 6 ;load: -673648
 id: 2 ;load: -460331
 id: 3 ;load: -200447
 id: 4 ;load: -563401
******************
 id: 6 ;load: -675182
 id: 2 ;load: -461592
 id: 3 ;load: -201245
 id: 4 ;load: -564858
******************
 id: 6 ;load: -676814
 id: 2 ;load: -462694
 id: 3 ;load: -202268
 id: 4 ;load: -566286
******************
 id: 6 ;load: -676944
 id: 2 ;load: -462816
 id: 3 ;load: -202642
 id: 4 ;load: -566408
******************
 id: 6 ;load: -677204
 id: 2 ;load: -462999
 id: 3 ;load: -203138
 id: 4 ;load: -566599
******************
******************
 id: 6 ;load: -677655
 id: 2 ;load: -463365
 id: 3 ;load: -204008
 id: 4 ;load: -567034
******************
 id: 6 ;load: -677984
 id: 2 ;load: -463548
 id: 3 ;load: -204443
 id: 4 ;load: -567286
******************
 id: 6 ;load: -678244
 id: 2 ;load: -463670
 id: 3 ;load: -204878
 id: 4 ;load: -567469
******************
 id: 6 ;load: -678374
 id: 2 ;load: -463792
 id: 3 ;load: -205244
 id: 4 ;load: -567530
******************
 id: 6 ;load: -678634
 id: 2 ;load: -463975
 id: 3 ;load: -205748
 id: 4 ;load: -567652
******************
 id: 6 ;load: -678894
 id: 2 ;load: -464097
 id: 3 ;load: -206175
 id: 4 ;load: -567835
******************
 id: 6 ;load: -679024
 id: 2 ;load: -464158
 id: 3 ;load: -206549
 id: 4 ;load: -567896
******************
 id: 6 ;load: -679284
 id: 2 ;load: -464280
 id: 3 ;load: -207045
 id: 4 ;load: -568079
******************
